Sr. no,Date,Open,High,Low,Close,Volume
887,2023-04-21T14:25:00+0530,1671.75,1673,1671.3,1672.95,170477
888,2023-04-21T14:30:00+0530,1672.65,1675.45,1672.6,1673.5,258618
889,2023-04-21T14:35:00+0530,1673.4,1673.4,1671.65,1672.15,61296
890,2023-04-21T14:40:00+0530,1672.15,1672.35,1671.1,1672,50277
891,2023-04-21T14:45:00+0530,1672.05,1673.45,1671.9,1672.25,34867
892,2023-04-21T14:50:00+0530,1672.25,1674,1672.25,1674,131007
893,2023-04-21T14:55:00+0530,1673.95,1675.35,1673.15,1673.7,362078
894,2023-04-21T15:00:00+0530,1673.75,1675,1672.95,1674.45,302779
895,2023-04-21T15:05:00+0530,1674.4,1676.25,1673.5,1676.25,184924
896,2023-04-21T15:10:00+0530,1676.2,1676.9,1674.5,1675.65,359957
897,2023-04-21T15:15:00+0530,1675,1675.7,1672.8,1674,184887
898,2023-04-21T15:20:00+0530,1673.95,1674.7,1672.55,1674.5,196435
899,2023-04-21T15:25:00+0530,1674.45,1674.5,1672,1672,164844
900,2023-04-24T09:15:00+0530,1687,1687,1677.25,1680.3,664766
901,2023-04-24T09:20:00+0530,1680.3,1681.35,1678.65,1680.05,271563
902,2023-04-24T09:25:00+0530,1680.05,1681.1,1677.8,1680.15,490122
903,2023-04-24T09:30:00+0530,1679.8,1679.8,1676.5,1679,283717
904,2023-04-24T09:35:00+0530,1678.95,1679.6,1676.8,1677.1,353198
905,2023-04-24T09:40:00+0530,1677.15,1678.9,1674.5,1674.9,169944
906,2023-04-24T09:45:00+0530,1674.85,1677.8,1674.65,1677.7,62095
907,2023-04-24T09:50:00+0530,1677.8,1680.95,1677.15,1679,338321
908,2023-04-24T09:55:00+0530,1679.05,1679.8,1678.05,1678.25,82362
909,2023-04-24T10:00:00+0530,1678.2,1678.25,1675.65,1676.95,506170
910,2023-04-24T10:05:00+0530,1676.95,1679,1676.6,1677.75,194127
911,2023-04-24T10:10:00+0530,1677.75,1679.9,1677.55,1679.3,559165
912,2023-04-24T10:15:00+0530,1679.2,1680.65,1677.1,1678.95,627398
913,2023-04-24T10:20:00+0530,1679.2,1680.4,1678.3,1678.5,132916
914,2023-04-24T10:25:00+0530,1678.55,1678.7,1677.25,1677.95,72022
915,2023-04-24T10:30:00+0530,1677.95,1679.5,1677.3,1679.45,178402
916,2023-04-24T10:35:00+0530,1679.35,1681.45,1679.35,1680.45,439368
917,2023-04-24T10:40:00+0530,1680.45,1681.65,1680.25,1681,393738
918,2023-04-24T10:45:00+0530,1681.05,1682.35,1679.5,1679.8,202764
919,2023-04-24T10:50:00+0530,1679.8,1679.9,1677.25,1677.45,560996
920,2023-04-24T10:55:00+0530,1677.4,1678.6,1676.15,1676.35,362480
921,2023-04-24T11:00:00+0530,1676.4,1676.45,1675,1675.6,271034
922,2023-04-24T11:05:00+0530,1675.5,1676.25,1674.9,1675.2,269050
923,2023-04-24T11:10:00+0530,1675.2,1677.3,1675.15,1676,402879
924,2023-04-24T11:15:00+0530,1676.05,1677.1,1675,1676.3,284449
925,2023-04-24T11:20:00+0530,1676.25,1677.55,1675.5,1677,245315
926,2023-04-24T11:25:00+0530,1677.05,1678.55,1674.75,1675.15,598617
927,2023-04-24T11:30:00+0530,1675.2,1676.5,1674.9,1676.35,225444
928,2023-04-24T11:35:00+0530,1676.35,1676.65,1674.95,1676.65,190162
929,2023-04-24T11:40:00+0530,1676.7,1678.25,1675.7,1677.4,463478
930,2023-04-24T11:45:00+0530,1677.65,1678.4,1676.2,1676.75,108771
931,2023-04-24T11:50:00+0530,1676.75,1676.8,1675,1676.1,258688
932,2023-04-24T11:55:00+0530,1676.1,1677.35,1675.85,1676.5,115925
933,2023-04-24T12:00:00+0530,1676.5,1677.2,1675.25,1676.05,56892
934,2023-04-24T12:05:00+0530,1676.1,1677.75,1676.05,1676.4,128162
935,2023-04-24T12:10:00+0530,1676.4,1677.45,1676.3,1677.05,31844
936,2023-04-24T12:15:00+0530,1677.05,1677.45,1676.6,1676.6,36206
937,2023-04-24T12:20:00+0530,1676.6,1678.05,1676.2,1677,103318
938,2023-04-24T12:25:00+0530,1676.95,1677.65,1676,1676.5,65326
939,2023-04-24T12:30:00+0530,1676.5,1677.6,1676,1677.5,141915
940,2023-04-24T12:35:00+0530,1677.35,1678.4,1676.15,1676.55,146197
941,2023-04-24T12:40:00+0530,1676.35,1677.65,1675.6,1677.2,141463
942,2023-04-24T12:45:00+0530,1677.3,1681.8,1677.25,1681.55,230644
943,2023-04-24T12:50:00+0530,1681.35,1681.55,1679.2,1680.9,153577
944,2023-04-24T12:55:00+0530,1681,1681.95,1680.05,1681.05,163349
945,2023-04-24T13:00:00+0530,1681.05,1682.5,1680.35,1682.1,226706
946,2023-04-24T13:05:00+0530,1682.3,1683,1680.1,1682.95,127896
947,2023-04-24T13:10:00+0530,1682.9,1683.4,1682.1,1683,72185
948,2023-04-24T13:15:00+0530,1683,1684.75,1683,1683.95,123076
949,2023-04-24T13:20:00+0530,1683.95,1684.55,1683.3,1684,122279
950,2023-04-24T13:25:00+0530,1683.95,1685,1683.3,1684.65,70072
951,2023-04-24T13:30:00+0530,1684.6,1687,1684.05,1686.5,102553
952,2023-04-24T13:35:00+0530,1686.65,1688.8,1686.25,1686.9,175111
953,2023-04-24T13:40:00+0530,1686.9,1689.8,1686.2,1689.8,196784
954,2023-04-24T13:45:00+0530,1689.8,1690,1687.15,1687.8,177240
955,2023-04-24T13:50:00+0530,1687.8,1688.9,1686.6,1687.7,175319
956,2023-04-24T13:55:00+0530,1687.75,1687.75,1686.25,1686.75,85619
957,2023-04-24T14:00:00+0530,1686.8,1688.7,1686.3,1687.55,155652
958,2023-04-24T14:05:00+0530,1687.5,1689.95,1687.25,1688.55,125612
959,2023-04-24T14:10:00+0530,1688.6,1689,1687.5,1688.4,148685
960,2023-04-24T14:15:00+0530,1688.5,1688.7,1686.9,1688.7,156213
961,2023-04-24T14:20:00+0530,1688.7,1691.45,1688.45,1690.65,420463
962,2023-04-24T14:25:00+0530,1690,1691.4,1689.2,1689.95,296794
963,2023-04-24T14:30:00+0530,1689.95,1690,1687.65,1687.75,83778
964,2023-04-24T14:35:00+0530,1687.8,1688.8,1686.75,1687.75,125949
965,2023-04-24T14:40:00+0530,1687.75,1688.75,1685.9,1686.05,174103
966,2023-04-24T14:45:00+0530,1686.15,1687.8,1685.9,1687.15,129950
967,2023-04-24T14:50:00+0530,1687.3,1690.3,1687.15,1688.5,249613
968,2023-04-24T14:55:00+0530,1688.7,1690.6,1687.4,1688,336920
969,2023-04-24T15:00:00+0530,1688,1689.55,1687.65,1688.85,159236
